vendas;;;;Anuncios;;Envios;
Numero da Venda;Data da Venda;Estado Atual;Quantidade por SKU;SKU;Loja Oficial;Data a Caminho;Data de Entrega
2000014881065970;27 de janeiro de 2026 01:19 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark; ; 
2000014880767260;27 de janeiro de 2026 00:33 hs.;A caminho;1;1-ALLEGRA-PT;Dom Stark;27 de janeiro | 23:17; 
2000014880716816;27 de janeiro de 2026 00:26 hs.;A caminho;1;1-ALLEGRA-PT;Dom Stark;27 de janeiro | 23:17; 
2000011238412417;26 de janeiro de 2026 23:11 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:56; 
2000011238185045;26 de janeiro de 2026 22:58 hs.;Para entregar na coleta do dia 2 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011238115849;26 de janeiro de 2026 22:51 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 01:18; 
2000011237976053;26 de janeiro de 2026 22:41 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:00; 
2000011237841227;26 de janeiro de 2026 22:33 hs.;Para entregar na coleta do dia 11 de fevereiro;4;1-ALLEGRA-PT;Dom Stark; ; 
2000011237756451;26 de janeiro de 2026 22:28 hs.;Venda cancelada. Não envie.;1;1-ALLEGRA-PT;Dom Stark; ; 
2000011237751853;26 de janeiro de 2026 22:27 hs.;Para entregar na coleta do dia 4 de fevereiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011237667359;26 de janeiro de 2026 22:22 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:56; 
2000011237301997;26 de janeiro de 2026 22:03 hs.;Para entregar na coleta do dia 3 de fevereiro;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011237169763;26 de janeiro de 2026 21:54 hs.;Para entregar na coleta do dia 30 de janeiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000014878541678;26 de janeiro de 2026 21:30 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011236347731;26 de janeiro de 2026 21:09 hs.;Para entregar na coleta do dia 10 de fevereiro;1;2-GRUVYER-PT;Dom Stark; ; 
2000011236087557;26 de janeiro de 2026 20:55 hs.;Pronto para coleta;1;1-PASSADEIRA-001;Dom Stark; ; 
